numero_registro,result_status,last_checked,source_url,source_type,ai_model,notes,attempt_count
BR-09091/2026,pending,2026-09-24 13:52:10,,,,Technical error: OpenRouter returned non-JSON content. Model: nvidia/nemotron-3.5-content-safety:free. Response: User Safety: safe,0
BR-00490/2026,not_found,2026-09-24 13:52:29,,,,No usable web search results found.,1
BR-00699/2026,not_found,9/24/2026 13:01,,,,No usable web search results found.,1
BR-00817/2026,not_found,9/24/2026 13:02,,,,No usable web search results found.,1
BR-02096/2026,not_found,9/24/2026 13:03,,,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The only source that identifies the target poll (BR-02096/2026, Quaest, SP, publication 25/08/2026) describes the methodology but does not provide the Lula vs Flávio Bolsonaro second‑round percentages."", ""ai_model"": ""nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free""}",1
BR-02403/2026,not_found,9/24/2026 13:04,,,nvidia/nemotron-3-super-120b-a12b:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The provided sources refer to a different Quaest poll (registration BR-06004/2026, date 21/09/2026) and do not contain information about the target poll BR-02403/2026 from 25/08/2026 in DF."", ""ai_model"": ""nvidia/nemotron-3-super-120b-a12b:free""}",1
BR-04281/2026,pending,9/24/2026 13:05,,,,Technical error: OpenRouter returned non-JSON content. Model: nvidia/nemotron-3.5-content-safety:free. Response: User Safety: safe,0
BR-04312/2026,not_found,9/24/2026 13:06,,,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": ""https://primeirapagina.com.br/politica/"", ""reason"": ""The only evidence for the target poll (BR-04312/2026, Quaest, 25/08/2026, MS) shows first‑round percentages (35% vs 27%) and does not provide a second‑round scenario between Lula and Flávio Bolsonaro."", ""ai_model"": ""nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free""}",1
BR-06252/2026,not_found,9/24/2026 13:06,,,,No usable web search results found.,1
BR-08827/2026,not_found,9/24/2026 13:06,,,,No usable web search results found.,1
BR-09135/2026,not_found,9/24/2026 13:07,,,cohere/north-mini-code:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""Nenhuma das fontes fornecidas contém o número de registro da pesquisa BR‑09135/2026, a data de publicação de 25/08/2026, o estado de TO ou os resultados do segundo turno Lula vs Flávio Bolsonaro para esse poll específico."", ""ai_model"": ""cohere/north-mini-code:free""}",1
BR-09818/2026,not_found,9/24/2026 13:07,,,,No usable web search results found.,1
BR-09895/2026,found,2026-09-24 13:53:09,https://www.facebook.com/g1/videos/eleição2026-pesquisa-quaest-divulgada-nesta-terça-feira-25-mostra-como-está-a-di/1572675217572473/,web,liquid/lfm-2.5-2.6b:free,"{""found"": true, ""status"": ""found"", ""lula"": 29, ""flavio_bolsonaro"": 31, ""source_url"": ""https://www.facebook.com/g1/videos/eleição2026-pesquisa-quaest-divulgada-nesta-terça-feira-25-mostra-como-está-a-di/1572675217572473/"", ""reason"": ""Source 3 explicitly links registration number BR-09895/2026 to a Quaest poll in RJ showing Lula at 29% and Flávio Bolsonaro at 31% in the second round."", ""ai_model"": ""liquid/lfm-2.5-2.6b:free""}",0
BR-06255/2026,not_found,9/24/2026 13:11,,,nvidia/nemotron-3-super-120b-a12b:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""Source 2 matches registration BR-06255/2026, institute Quaest, date 27/08/2026, state ES but only provides first-round results; it does not confirm the missing candidates condition nor provide the Lula vs Flávio Bolsonaro second-round scenario."", ""ai_model"": ""nvidia/nemotron-3-super-120b-a12b:free""}",1
BR-07015/2026,not_found,9/24/2026 13:18,,,nvidia/nemotron-3.5-lightning:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""Evidence identifies Quaest poll in Acre with registration BR-07015/2026 but data shows placeholder 0% values for all candidates; does not clearly provide stimulated second-round Lula vs Flávio Bolsonaro scenario percentages from target poll."", ""ai_model"": ""nvidia/nemotron-3.5-lightning:free""}",1
BR-07281/2026,not_found,9/24/2026 13:19,,,,No usable web search results found.,1
BR-07810/2026,not_found,9/24/2026 13:19,,,inclusionai/ling-3.0-flash-fin:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The evidence does not contain results for the target poll (registration BR-07810/2026, Quaest, 27/08/2026, State GO). Source 3 discusses a Quaest poll with Lula vs Flávio Bolsonaro second-round numbers, but it is explicitly registered under a different TSE number (BR-06004/2026), was published on 21/09/2026, and covers the national electorate — not the target poll. Source 1 mentions Goiás and Flávio Bolsonaro but does not contain Lula percentages or identify the target poll. Source 2 is a general navigation page with no specific poll data. Per the instructions, results from another registration number must not be used."", ""ai_model"": ""inclusionai/ling-3.0-flash-fin:free""}",1
BR-08870/2026,not_found,9/24/2026 13:20,,,,No usable web search results found.,1
BR-08926/2026,not_found,2026-09-24 13:53:36,,,cohere/north-mini-code:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""No evidence found for Lula vs Flávio Bolsonaro second‑round scenario in the specified poll (BR‑08926/2026)."", ""ai_model"": ""cohere/north-mini-code:free""}",1
BR-05309/2026,not_found,9/24/2026 13:21,,,,No usable web search results found.,1
BR-08685/2026,not_found,9/24/2026 13:22,,,,No usable web search results found.,1
BR-03046/2026,pending,9/24/2026 13:22,,,,Technical error: OpenRouter returned non-JSON content. Model: nvidia/nemotron-3.5-content-safety:free. Response: User Safety: safe,0
BR-04576/2026,not_found,9/24/2026 13:23,,,,No usable web search results found.,1
BR-07082/2026,not_found,9/24/2026 13:23,,,inclusionai/ling-3.0-flash-sante:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""Neither source matches the target poll registration number BR-07082/2026. Source 1 is registered as BR-04739/2026 (published 23/09/2026) and Source 2 is registered as BR-06221/2026 (published 17/09/2026). Although both contain Lula vs Flávio Bolsonaro second-round numbers, they cannot be attributed to the target poll."", ""ai_model"": ""inclusionai/ling-3.0-flash-sante:free""}",1
BR-08229/2026,not_found,9/24/2026 13:24,,,inclusionai/ling-3.0-flash-sante:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The supplied evidence does not contain the target poll BR-08229/2026. Source 2 (VEJA) reports a different AtlasIntel poll registered as BR-04739/2026, published on 23/09/2026, which is not the target poll. Source 1 is about a completely different race (Mitidieri vs. Valmir in Sergipe). No evidence matches the target registration number, date, or state."", ""ai_model"": ""inclusionai/ling-3.0-flash-sante:free""}",1
BR-09581/2026,not_found,9/24/2026 13:25,,,nex-agi/nex-n2.5-mini:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The supplied evidence identifies the target poll and states that Lula vs Flávio Bolsonaro was among the tested second-round scenarios, but it does not provide the runoff percentages."", ""ai_model"": ""nex-agi/nex-n2.5-mini:free""}",1
BR-04230/2026,not_found,9/24/2026 13:25,,,,No usable web search results found.,1
BR-08519/2026,not_found,9/24/2026 13:26,,,nex-agi/nex-n2.5-mini:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The supplied pages identify other Quaest polls with different TSE registration numbers (BR-03607/2026 and BR-06004/2026), not target poll BR-08519/2026."", ""ai_model"": ""nex-agi/nex-n2.5-mini:free""}",1
BR-00304/2026,not_found,9/24/2026 13:27,,,poolside/laguna-xs-2.1:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The evidence discusses the upcoming Datafolha poll (BR-00304/2026) scheduled for 24/09/2026 but does not provide its results. All sources reference the poll's registration and methodology but are dated before the publication date, confirming they are pre-release announcements. No results for the target poll are present."", ""ai_model"": ""poolside/laguna-xs-2.1:free""}",1
BR-05465/2026,not_found,9/24/2026 13:28,,,,No usable web search results found.,1
BR-05762/2026,not_found,9/24/2026 13:28,,,,No usable web search results found.,1
BR-06769/2026,not_found,9/24/2026 13:28,,,,No usable web search results found.,1
BR-06824/2026,not_found,9/24/2026 13:29,,,,No usable web search results found.,1
BR-09355/2026,not_found,9/24/2026 13:29,,,nvidia/nemotron-3-ultra-550b-a55b:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The evidence shows a Datafolha poll with registration BR-04029/2026 (published 17/09/2026, updated 24/09/2026), not the target poll BR-09355/2026. Different registration number and publication details."", ""ai_model"": ""nvidia/nemotron-3-ultra-550b-a55b:free""}",1
BR-05268/2026,not_found,9/24/2026 13:30,,,,No usable web search results found.,1
BR-00846/2026,not_found,9/24/2026 13:30,,,,No usable web search results found.,1
BR-01739/2026,not_found,9/24/2026 13:31,,,,No usable web search results found.,1
BR-01422/2026,not_found,9/24/2026 13:32,,,nex-agi/nex-n2.5-pro:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The supplied pages report other Quaest polls, explicitly registered as BR-06004/2026 or BR-03607/2026, not the target Sergipe poll BR-01422/2026."", ""ai_model"": ""nex-agi/nex-n2.5-pro:free""}",1
BR-03260/2026,not_found,9/24/2026 13:32,,,,No usable web search results found.,1
BR-03864/2026,not_found,9/24/2026 13:33,,,inclusionai/ling-3.0-flash-sante:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The evidence contains Lula vs Flávio Bolsonaro second-round percentages from Quaest polls, but the registration numbers in the sources (BR-06004/2026 and BR-03607/2026) do not match the target poll registration number BR-03864/2026. Per instructions, when another TSE registration number is explicitly associated with the numbers, the result is 'not_found'."", ""ai_model"": ""inclusionai/ling-3.0-flash-sante:free""}",1
BR-03961/2026,not_found,9/24/2026 13:33,,,,No usable web search results found.,1
BR-04607/2026,not_found,9/24/2026 13:34,,,,No usable web search results found.,1
BR-04806/2026,not_found,9/24/2026 13:34,,,,No usable web search results found.,1
BR-06511/2026,not_found,9/24/2026 13:35,,,,No usable web search results found.,1
BR-08101/2026,not_found,9/24/2026 13:36,,,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""Evidence refers to a different Quaest poll (registration BR-03607/2026, date 14/09/2026) and does not match the target poll (BR-08101/2026, 24/09/2026, state AM)."", ""ai_model"": ""nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free""}",1
BR-09969/2026,not_found,9/24/2026 13:36,,,,No usable web search results found.,1
BR-08886/2026,not_found,9/24/2026 13:26,,,,No usable web search results found.,1
BR-04491/2026,not_found,9/24/2026 12:35,,,nvidia/nemotron-3-ultra-550b-a55b:free,"{""found"": false, ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""None of the provided sources contain the target poll (BR-04491/2026, Futura, 21/09/2026, BA, presidential second-round Lula vs Flávio Bolsonaro). Source 2 mentions a Futura poll from 21/09/2026 but for Bahia governor (ACM Neto vs Jerônimo), not presidential. No registration number BR-04491/2026 appears in any source."", ""ai_model"": ""nvidia/nemotron-3-ultra-550b-a55b:free""}",0
BR-04739/2026,not_found,9/24/2026 13:25,,,,No usable web search results found.,1
